Longitude,Latitude,Store Name,Full Address,Street,City,State,Zip,Country
-86.6731707,34.71523012,LEGO: Huntsville (AL) - Bridge St TC  938-218-9035,"320 The Bridge St NW E124, Huntsville, AL 35806, USA",320 The Bridge St NW E124,Huntsville,AL,35806,USA
-157.843674,21.289636,LEGO: Chandler (AZ) - Chandler Fashion Center  480-899-0228,"3111 West Chandler Blvd, Chandler, Arizona 85226",3111 West Chandler Blvd,Chandler,AZ,85226,USA
-122.271104,47.829079,LEGO: Glendale (AZ) - Arrowhead TC  623-776-3350,"7700 West Arrowhead Towne Center, Glendale, Arizona 85308",7700 West Arrowhead Towne Center,Glendale,AZ,85308,USA
-111.9238132,33.62495877,LEGO: Scottsdale (AZ) - Quarter  480-956-0424,"15257 N Scottsdale Rd Unit F1-170, Scottsdale, AZ 85254",15257 N Scottsdale Rd Unit F1-170,Scottsdale,AZ,85254,USA
-94.17531559,36.30518411,LEGO: Rogers (AR) - Pinnacle Hills  479-405-6640,"2203 S Promenade Blvd #8135, Rogers, AR 72758",2203 S Promenade Blvd #8135,Rogers,AR,72758,USA
-112.22523,33.639727,LEGO: Anaheim (CA) - Downtown Disney District  714-991-6512,"1585 Disneyland Dr, Anaheim, California 92802",1585 Disneyland Dr,Anaheim,CA,92802,USA
-118.0517607,34.13478908,LEGO: Arcadia (CA) - The Shops at Santa Anita  626-538-1226,"400 S Baldwin Ave Unit D9, Arcadia, CA 91007",400 S Baldwin Ave Unit D9,Arcadia,CA,91007,USA
-105.133034,39.93371057,LEGO: Broomfield (CO) - Flatiron Crossing  720-208-1263,"1 W Flatiron Crossing Dr #1058, Broomfield, CO 80021",1 W Flatiron Crossing Dr #1058,Broomfield,CO,80021,USA
-76.723329,39.158233,LEGO: Canoga Park (CA) - Westfield Topanga  818-884-8597,"6600 Topanga Canyon Blvd, Unit 1092, Canoga Park, CA 91303",6600 Topanga Canyon Blvd,Canoga Park,CA,91303,USA
-117.3104791,33.12617768,LEGO: Carlsbad (CA) - LEGOLAND CA  888-690-5346,"One Legoland Dr, Carlsbad, CA 92008, United States",One Legoland Dr,Carlsbad,CA,92008,USA
